"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"CPOL-EU153CLV-0810";"153CLV-0810";"C2, C3";"POLARIZED CAPACITOR, European symbol";"";
"3";"";"FERRITESIZE_0805";"R0805";"FB1, FB2, FB3";"Generic Surface Mount Ferrite Chip";"";
"1";"";"JST_2PIN-THM";"JST-PH-2-THM";"CN1";"JST 2-Pin Connectors of various flavors";"";
"1";"";"NMOS-FETSOT23";"SOT23";"Q1";"Generic NMOS FET";"";
"1";"";"PINHD-1X4";"1X04";"JP1";"PIN HEADER";"";
"1";"100K";"R-EU_R0402";"R0402";"R2";"RESISTOR, European symbol";"";
"1";"100n";"C-EUC0402";"C0402";"C1";"CAPACITOR, European symbol";"";
"1";"10u";"C-EUC0402";"C0402";"C4";"CAPACITOR, European symbol";"";
"1";"1K";"R-EU_R0402";"R0402";"R3";"RESISTOR, European symbol";"";
"1";"4.99K";"R-EU_R0402";"R0402";"R1";"RESISTOR, European symbol";"";
"1";"AL5812MP-13";"AL5812MP-13";"MSOP-8EP";"U1";"Diodes, Inc AL5812 LED Driver";"";
"2";"ESC_POWER";"ESC_POWER";"ESC_POWER";"U$1, U$2";"";"";
"2";"LTW-5630AZL";"LTW-5630AZL";"LITEON-5630";"LED1, LED2";"Lite-On 5x3 mm LTW-5630AZL White LED";"";
"4";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"H1, H2, H3, H4";"MOUNTING PAD, round";"";
